Available Papers for Gift Wrap,Hârtie Disponibilă pentru Împachetare
Print This Page,Listați Această Pagină
Items to giftwrap,Articole de împachetat
Item,Articol
Style Selection,Selecție Stil
Style Image,Imagine Stil
Style Price,Preț Stil
Personal Message,Mesaj Personal
Wrap all available items in cart,Împachetare toate articolele disponibile din coș
View available papers,Vizualizare hârtie disponibilă
Type your personal message here,Introduceți mesajul dvs. personal aici
Gift Wrap,Împachetare
Gift Wrap Information,Informații Împachetare
Loading...,Se încarcă...
Please wait...,Așteptați...
Wrap all items together,Împachetare toate articolele împreună
Gift Wrap Tooltip,Descriere Împachetare
Giftwrap Amount,Sumă Împachetare
WRAP THIS PRODUCT,ÎMPACHETAȚI ACEST PRODUS
Add to an existing gift box,Adăugați la o cutie de cadou existentă
Create a new gift box,Creați o cutie de cadou nouă
Create new gift box,Creați o cutie de cadou nouă
You have no gift box in shopping cart.,Nu aveți nicio cutie de cadou în coș.
Choose gift paper,Alegeți hârtia de cadou
Choose gift box,Alegeți cutia de cadou
Choose Gift Card,Alegeți Felicitarea
No Gift Wrap,Fără Împachetare
There is no gift box or paper to use.,Nu este nicio cutie sau hârtie de cadou disponibilă.
No Gift Card,Fără Felicitare
Your message (,Mesajul dvs. (
 characters max), caractere maxim)
Giftwrap,Împachetare
View details,Vizualizare detalii
Edit item parameters,Editare parametrii articol
Edit,Editare
Move,Mutare
Select Giftwrap, Selecteaza modul de împachetare
Gift Card,Felicitare
Wrapped Items,Articole Împachetate
Add New Gift Box,Adăugare Cutie Cadou Nouă
Manage Gift Cards,Gestionare Felicitări
Edit Gift Card,Editare Felicitare
New Gift Card,Felicitare Nouă
Gift Card Information,Informații Felicitare
Card Name,Nume Felicitare
User Default Card Name,Nume Felicitare Implicit Utilizator
User Default Price,Preț Implicit Utilizator
Card Image,Imagine Felicitare
User Default Card Image,Imagine Felicitare Implicită Utilizator
Message\'s Max Length,Lungime Maximă Mesaj
User Default Limit Character,Limită Caractere Implicită Utilizator
User Default Status,Status Implicit Utilizator
No Gift Boxes Found,Nicio Cutie de Cadou Găsită
Please select items.,Selectați articolele.
Manage Wrappable Products,Gestionare Produse Împachetabile
Wrappable,Împachetabil
Unwrappable ,Neîmpachetabil 
Gift Wrap Information,Informații Împachetare
Giftwrap Information,Informații Împachetare
Gift Message,Mesaj Cadou
Giftwrap Order,Comandă Împachetare
Giftwrap Amount,Sumă Împachetare
Giftwrap Amount:,Sumă Împachetare
Item was successfully deleted,Articol șters cu succes
Please select item(s),Selectați articolele
Total of %d record(s) were successfully updated,Un total de %d înregistrări actualizate cu succes
Maximum of this style is ,Maximul din acest stil este
Type your personal message here,Scrieți mesajul dvs. personalizat aici
There was an error when saving your giftwrap selection,A apărut o eroare la salvarea selecției dvs. de împachetare
There was an error when deleting your giftwrap selection,A apărut o eroare la ștergerea selecției dvs. de împachetare
The gift wrap feature was disabled.,Funcționalitatea de împachetare a fost dezactivată.
Available Pagers,Paginatoare Disponibile
Cannot save giftbox . Please select paper !,Nu se poate salva cutia cadou . Selectați hârtia !
Cannot save giftbox . Please select item !,Nu se poate salva cutia cadou . Selectați articolul !
Cannot save giftbox . Please select wrap type !,Nu se poate salva cutia cadou . Selectați tipul de împachetare !
Number items in giftbox is larger!,Numărul de articole din cutia cadou e mai mare!
Add giftwrap success,Împachetare adăugată cu succes
Save giftwrap success,Împachetare salvată cu succes
Delete giftwrap success,Împachetare ștearsă cu succes
%d product(s) were successfully enabled for wrapping.,%d produs(e) s-au activat cu succes pentru împachetare.
%d product(s) were successfully disabled for wrapping.,%d produs(e) s-au dezactivat cu succes pentru împachetare.
Giftwrap Tax,Taxe Împachetare
Select Gift Box,Selectare Cutie Cadou
Giftwrap,Împachetare
Giftwrap Image,Imagine Împachetare
Gift Wrap Tax,Taxe Împachetare
